vehicle_id,repeat,fold,precision,best_alpha
181,0,0,0.925925925925926,0.05
181,0,1,0.6111111111111112,0.05
181,0,2,0.5,0.05
181,0,3,0.75,0.05
181,0,4,1.0,0.05
181,0,5,0.5,0.05
181,0,6,0.29166666666666663,0.05
181,0,7,0.6875,0.05
181,0,8,1.0,0.05
181,0,9,0.75,0.05
181,1,0,1.0,0.001
181,1,1,0.6944444444444444,0.001
181,1,2,0.5833333333333334,0.001
181,1,3,0.375,0.001
181,1,4,0.25,0.001
181,1,5,0.7083333333333333,0.001
181,1,6,0.875,0.001
181,1,7,0.75,0.001
181,1,8,0.625,0.001
181,1,9,0.625,0.001
181,2,0,0.5555555555555556,0.1
181,2,1,0.5555555555555556,0.1
181,2,2,1.0,0.1
181,2,3,0.4375,0.1
181,2,4,0.5,0.1
181,2,5,1.0,0.1
181,2,6,0.875,0.1
181,2,7,0.8125,0.1
181,2,8,0.9375,0.1
181,2,9,1.0,0.1
181,3,0,1.0,0.001
181,3,1,0.9166666666666666,0.001
181,3,2,0.6666666666666666,0.001
181,3,3,0.75,0.001
181,3,4,0.75,0.001
181,3,5,0.5,0.001
181,3,6,0.5,0.001
181,3,7,1.0,0.001
181,3,8,0.7916666666666666,0.001
181,3,9,0.90625,0.001
181,4,0,0.5925925925925926,0.05
181,4,1,0.3333333333333333,0.05
181,4,2,0.925925925925926,0.05
181,4,3,0.15625,0.05
181,4,4,1.0,0.05
181,4,5,0.5,0.05
181,4,6,0.9375,0.05
181,4,7,0.75,0.05
181,4,8,1.0,0.05
181,4,9,0.625,0.05
181,5,0,0.48148148148148145,0.001
181,5,1,0.5,0.001
181,5,2,1.0,0.001
181,5,3,0.4375,0.001
181,5,4,1.0,0.001
181,5,5,0.16666666666666666,0.001
181,5,6,1.0,0.001
181,5,7,1.0,0.001
181,5,8,0.75,0.001
181,5,9,0.5833333333333334,0.001
181,6,0,0.7777777777777778,0.001
181,6,1,0.5,0.001
181,6,2,1.0,0.001
181,6,3,1.0,0.001
181,6,4,0.9166666666666666,0.001
181,6,5,0.1875,0.001
181,6,6,0.75,0.001
181,6,7,0.375,0.001
181,6,8,0.28125,0.001
181,6,9,1.0,0.001
181,7,0,1.0,0.05
181,7,1,0.925925925925926,0.05
181,7,2,0.5925925925925926,0.05
181,7,3,0.75,0.05
181,7,4,0.71875,0.05
181,7,5,0.16666666666666666,0.05
